GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0006364	rRNA processing	3.132839056625771e-8	3.132839056625771e-8	+1	ENSG00000147889,ENSG00000120158,ENSG00000179041,ENSG00000198042,ENSG00000178718,ENSG00000162408,ENSG00000055483,ENSG00000278619,ENSG00000160214,ENSG00000165271,ENSG00000071462,ENSG00000152464,ENSG00000148300,ENSG00000143303,ENSG00000178896,ENSG00000197498,ENSG00000163312,ENSG00000156697,ENSG00000130826,ENSG00000184967,ENSG00000141456,ENSG00000117419,ENSG00000150990,ENSG00000104884,ENSG00000126749,ENSG00000136271,ENSG00000261236,ENSG00000182362,ENSG00000077348,ENSG00000172336,ENSG00000185163,ENSG00000053372,ENSG00000171103,ENSG00000100029,ENSG00000147679,ENSG00000001497,ENSG00000136718,ENSG00000122687,ENSG00000117481,ENSG00000171316,ENSG00000055044,ENSG00000119285,ENSG00000105671,ENSG00000108651,ENSG00000158526,ENSG00000107371,ENSG00000111641,ENSG00000171863,ENSG00000162851,ENSG00000101546,ENSG00000124787,ENSG00000112159,ENSG00000151304,ENSG00000114767,ENSG00000112578,ENSG00000117174,ENSG00000164338,ENSG00000117597,ENSG00000142207,ENSG00000007376,ENSG00000107937,ENSG00000067533,ENSG00000121274,ENSG00000145414,ENSG00000165732,ENSG00000124784,ENSG00000138442,ENSG00000142676,ENSG00000166133,ENSG00000133316,ENSG00000104626,ENSG00000181991,ENSG00000160208,ENSG00000160256,ENSG00000198585,ENSG00000171861,ENSG00000148843,ENSG00000065183,ENSG00000182117,ENSG00000145912,ENSG00000109534,ENSG00000141076,ENSG00000039123,ENSG00000088205,ENSG00000107833,ENSG00000007520,ENSG00000164934,ENSG00000171858,ENSG00000198000,ENSG00000130305,ENSG00000171490,ENSG00000150773,ENSG00000167272,ENSG00000197223,ENSG00000177954,ENSG00000086189,ENSG00000100201,ENSG00000141101,ENSG00000029639,ENSG00000089048,ENSG00000233927,ENSG00000066654,ENSG00000120699,ENSG00000163811,ENSG00000127804,ENSG00000132004,ENSG00000130713,ENSG00000134987,ENSG00000137154,ENSG00000170889,ENSG00000138326,ENSG00000105373,ENSG00000101945,ENSG00000242372
GO:0140053	mitochondrial gene expression	0.000001235214509408072	0.000001235214509408072	+1	ENSG00000171612,ENSG00000165275,ENSG00000239789,ENSG00000155906,ENSG00000175756,ENSG00000130348,ENSG00000243147,ENSG00000242485,ENSG00000128626,ENSG00000090263,ENSG00000148824,ENSG00000168827,ENSG00000177192,ENSG00000156469,ENSG00000072756,ENSG00000182154,ENSG00000090861,ENSG00000136270,ENSG00000106591,ENSG00000266472,ENSG00000171103,ENSG00000107815,ENSG00000072506,ENSG00000145331,ENSG00000117481,ENSG00000137547,ENSG00000131368,ENSG00000123297,ENSG00000267855,ENSG00000185608,ENSG00000155846,ENSG00000250479,ENSG00000162851,ENSG00000173141,ENSG00000106105,ENSG00000127989,ENSG00000101181,ENSG00000167862,ENSG00000116221,ENSG00000096080,ENSG00000162910,ENSG00000143314,ENSG00000137288,ENSG00000274523,ENSG00000167112,ENSG00000183617,ENSG00000182180,ENSG00000182768,ENSG00000181991,ENSG00000099821,ENSG00000172171,ENSG00000259494,ENSG00000197345,ENSG00000124279,ENSG00000108826,ENSG00000117593,ENSG00000059691,ENSG00000163319,ENSG00000103356,ENSG00000147586,ENSG00000082515,ENSG00000116898,ENSG00000254858,ENSG00000135297,ENSG00000172172,ENSG00000156990,ENSG00000102738,ENSG00000043514,ENSG00000112996,ENSG00000120832,ENSG00000132676,ENSG00000156928,ENSG00000132356,ENSG00000171421,ENSG00000146282,ENSG00000172590,ENSG00000105364,ENSG00000178952,ENSG00000204568,ENSG00000061794,ENSG00000124608,ENSG00000074071,ENSG00000204316,ENSG00000130312,ENSG00000257218,ENSG00000143374,ENSG00000114686,ENSG00000156502,ENSG00000155463,ENSG00000262814,ENSG00000120662,ENSG00000174547,ENSG00000101391
GO:0001510	RNA methylation	0.00003404476628813268	0.00003404476628813268	+1	ENSG00000162639,ENSG00000183665,ENSG00000165275,ENSG00000186666,ENSG00000160193,ENSG00000137574,ENSG00000037897,ENSG00000278619,ENSG00000166166,ENSG00000071462,ENSG00000143303,ENSG00000126749,ENSG00000146834,ENSG00000122435,ENSG00000059588,ENSG00000171103,ENSG00000180917,ENSG00000072506,ENSG00000145331,ENSG00000122687,ENSG00000117481,ENSG00000136932,ENSG00000111641,ENSG00000162851,ENSG00000104907,ENSG00000134077,ENSG00000259956,ENSG00000105879,ENSG00000165819,ENSG00000123600,ENSG00000171861,ENSG00000068438,ENSG00000188917,ENSG00000135297,ENSG00000130305,ENSG00000089195,ENSG00000162775,ENSG00000086189,ENSG00000123200,ENSG00000206562,ENSG00000029639,ENSG00000037474,ENSG00000066651,ENSG00000146457,ENSG00000099899
GO:0001522	pseudouridine synthesis	0.0004199456239541303	0.0004199456239541303	+1	ENSG00000169972,ENSG00000177192,ENSG00000130826,ENSG00000165832,ENSG00000162927,ENSG00000007376,ENSG00000145414,ENSG00000167112,ENSG00000166133,ENSG00000182117,ENSG00000145912,ENSG00000109534,ENSG00000156990,ENSG00000091127
GO:0032543	mitochondrial translation	0.0014951554288409811	0.0014951554288409811	+1	ENSG00000239789,ENSG00000155906,ENSG00000175756,ENSG00000130348,ENSG00000243147,ENSG00000242485,ENSG00000128626,ENSG00000090263,ENSG00000148824,ENSG00000168827,ENSG00000182154,ENSG00000090861,ENSG00000106591,ENSG00000266472,ENSG00000117481,ENSG00000137547,ENSG00000131368,ENSG00000123297,ENSG00000267855,ENSG00000185608,ENSG00000173141,ENSG00000106105,ENSG00000101181,ENSG00000167862,ENSG00000116221,ENSG00000096080,ENSG00000162910,ENSG00000143314,ENSG00000137288,ENSG00000274523,ENSG00000167112,ENSG00000183617,ENSG00000182180,ENSG00000182768,ENSG00000181991,ENSG00000259494,ENSG00000197345,ENSG00000124279,ENSG00000108826,ENSG00000117593,ENSG00000059691,ENSG00000163319,ENSG00000103356,ENSG00000147586,ENSG00000082515,ENSG00000116898,ENSG00000254858,ENSG00000172172,ENSG00000156990,ENSG00000102738,ENSG00000112996,ENSG00000132676,ENSG00000156928,ENSG00000171421,ENSG00000146282,ENSG00000172590,ENSG00000105364,ENSG00000178952,ENSG00000204568,ENSG00000061794,ENSG00000124608,ENSG00000074071,ENSG00000204316,ENSG00000130312,ENSG00000257218,ENSG00000143374,ENSG00000114686,ENSG00000155463,ENSG00000262814,ENSG00000120662,ENSG00000174547,ENSG00000101391,ENSG00000132591
GO:0000154	rRNA modification	0.003368569462513664	0.003368569462513664	+1	ENSG00000278619,ENSG00000071462,ENSG00000143303,ENSG00000130826,ENSG00000126749,ENSG00000171103,ENSG00000122687,ENSG00000117481,ENSG00000111641,ENSG00000162851,ENSG00000007376,ENSG00000145414,ENSG00000166133,ENSG00000171861,ENSG00000182117,ENSG00000145912,ENSG00000109534,ENSG00000007520,ENSG00000130305,ENSG00000086189,ENSG00000029639,ENSG00000066654,ENSG00000127804
GO:0009954	proximal/distal pattern formation	0.007221782599910759	0.007221782599910759	+1	ENSG00000180818,ENSG00000180806,ENSG00000115844,ENSG00000198719,ENSG00000177508,ENSG00000144355,ENSG00000185630,ENSG00000106571,ENSG00000123388,ENSG00000074047
GO:0000959	mitochondrial RNA metabolic process	0.007878642085187224	0.007878642085187224	+1	ENSG00000171612,ENSG00000165275,ENSG00000177192,ENSG00000156469,ENSG00000072756,ENSG00000090861,ENSG00000136270,ENSG00000171103,ENSG00000107815,ENSG00000072506,ENSG00000145331,ENSG00000138399,ENSG00000155846,ENSG00000250479,ENSG00000162851,ENSG00000106105,ENSG00000127989,ENSG00000099821,ENSG00000172171,ENSG00000117593,ENSG00000103356,ENSG00000135297,ENSG00000043514,ENSG00000120832,ENSG00000132356,ENSG00000174840,ENSG00000124608,ENSG00000143374,ENSG00000156502,ENSG00000262814,ENSG00000101391
GO:0060900	embryonic camera-type eye formation	0.008349169811031183	0.008349169811031183	+1	ENSG00000122691,ENSG00000184254,ENSG00000137868,ENSG00000137203,ENSG00000114251,ENSG00000176887
GO:0031118	rRNA pseudouridine synthesis	0.011442016376675905	0.011442016376675905	+1	ENSG00000130826,ENSG00000007376,ENSG00000145414,ENSG00000166133,ENSG00000182117,ENSG00000145912,ENSG00000109534
GO:0034275	kynurenic acid metabolic process	0.01670560334859209	0.01670560334859209	+1	ENSG00000117009,ENSG00000131203
GO:0034276	kynurenic acid biosynthetic process	0.01670560334859209	0.01670560334859209	+1	ENSG00000117009,ENSG00000131203
GO:0006308	DNA catabolic process	0.018544605000362948	0.018544605000362948	+1	ENSG00000147889,ENSG00000172732,ENSG00000181026,ENSG00000136244,ENSG00000160049,ENSG00000183770,ENSG00000105612,ENSG00000148300,ENSG00000117419,ENSG00000170364,ENSG00000173614,ENSG00000185122,ENSG00000156709,ENSG00000169598,ENSG00000164305
GO:0048596	embryonic camera-type eye morphogenesis	0.026676687750710793	0.026676687750710793	+1	ENSG00000122691,ENSG00000101144,ENSG00000007372,ENSG00000184254,ENSG00000137868,ENSG00000137203,ENSG00000114251,ENSG00000176887
GO:0000737	DNA catabolic process, endonucleolytic	0.030448269486476033	0.030448269486476033	+1	ENSG00000147889,ENSG00000172732,ENSG00000136244,ENSG00000160049,ENSG00000183770,ENSG00000105612,ENSG00000148300,ENSG00000170364,ENSG00000173614,ENSG00000185122,ENSG00000156709,ENSG00000169598,ENSG00000164305
GO:0036118	hyaluranon cable assembly	0.031098875696133323	0.031098875696133323	+1	ENSG00000101144,ENSG00000114378,ENSG00000103044
GO:1900104	regulation of hyaluranon cable assembly	0.031098875696133323	0.031098875696133323	+1	ENSG00000101144,ENSG00000114378,ENSG00000103044
GO:1900106	positive regulation of hyaluranon cable assembly	0.031098875696133323	0.031098875696133323	+1	ENSG00000101144,ENSG00000114378,ENSG00000103044
GO:0070125	mitochondrial translational elongation	0.0332581562903803	0.0332581562903803	+1	ENSG00000239789,ENSG00000175756,ENSG00000243147,ENSG00000242485,ENSG00000128626,ENSG00000090263,ENSG00000168827,ENSG00000182154,ENSG00000106591,ENSG00000266472,ENSG00000137547,ENSG00000131368,ENSG00000123297,ENSG00000185608,ENSG00000173141,ENSG00000167862,ENSG00000116221,ENSG00000096080,ENSG00000162910,ENSG00000143314,ENSG00000183617,ENSG00000182180,ENSG00000181991,ENSG00000259494,ENSG00000197345,ENSG00000108826,ENSG00000163319,ENSG00000147586,ENSG00000082515,ENSG00000116898,ENSG00000172172,ENSG00000102738,ENSG00000112996,ENSG00000132676,ENSG00000171421,ENSG00000172590,ENSG00000105364,ENSG00000178952,ENSG00000204568,ENSG00000061794,ENSG00000074071,ENSG00000204316,ENSG00000130312,ENSG00000114686,ENSG00000155463,ENSG00000262814,ENSG00000174547,ENSG00000132591
GO:0060343	trabecula formation	0.033461566821818695	0.033461566821818695	+1	ENSG00000087245,ENSG00000164683,ENSG00000169231,ENSG00000138207,ENSG00000104332
GO:0001806	type IV hypersensitivity	0.044099896913895716	0.044099896913895716	+1	ENSG00000174564,ENSG00000188372,ENSG00000107485
GO:0030325	adrenal gland development	0.045064689382594565	0.045064689382594565	+1	ENSG00000050165,ENSG00000196712,ENSG00000110492,ENSG00000169297,ENSG00000137868,ENSG00000185630,ENSG00000070404
